service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T11:01:00_20170901_99991231_20170405_99991231_4","0","0","1","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T11:04:03_20170901_99991231_20170530_99991231_2","1","0","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T11:04:58_20170901_99991231_20170405_99991231_3","0","1","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T11:04:58_20170901_99991231_20170405_99991231_6","0","0","0","0","1","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T11:04:58_20170901_99991231_20170530_99991231_2","1","0","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T11:09:02_20170901_99991231_20170405_99991231_4","0","0","1","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T11:09:02_20170901_99991231_20170530_99991231_2","1","0","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T12:09:50_20170901_99991231_20170404_99991231_4","0","0","1","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T12:09:50_20170901_99991231_20170530_99991231_2","1","0","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T12:24:19_20170901_99991231_20170404_99991231_5","0","0","0","1","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T12:25:40_20170901_99991231_20170404_99991231_3","0","1","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T12:25:40_20170901_99991231_20170530_99991231_2","1","0","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T12:27:16_20170901_99991231_20170404_99991231_3","0","1","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T12:27:16_20170901_99991231_20170404_99991231_6","0","0","0","0","1","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T12:27:45_20170901_99991231_20170404_99991231_5","0","0","0","1","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T12:28:46_20170901_99991231_20170404_99991231_4","0","0","1","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-10T10:36:57_20170901_99991231_20170404_99991231_7","0","0","0","0","0","1","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-10T10:37:31_20170901_99991231_20170404_99991231_7","0","0","0","0","0","1","0","20170901","20180901"
"07 - Campbells Creek_#0_2016-02-08T09:46:34_20170901_99991231_20170405_99991231_3","0","1","0","0","0","0","0","20170901","20180901"
"07 - Campbells Creek_#0_2016-02-08T09:46:34_20170901_99991231_20170405_99991231_4","0","0","1","0","0","0","0","20170901","20180901"
"07 - Campbells Creek_#0_2016-02-08T09:47:20_20170901_99991231_20170405_99991231_5","0","0","0","1","0","0","0","20170901","20180901"
"07 - Campbells Creek_#0_2016-02-08T09:47:20_20170901_99991231_20170405_99991231_6","0","0","0","0","1","0","0","20170901","20180901"
"07 - Campbells Creek_#0_2016-02-08T09:56:55_20170901_99991231_20170404_99991231_4","0","0","1","0","0","0","0","20170901","20180901"
"07 - Campbells Creek_#0_2016-02-08T10:03:33_20170901_99991231_20170404_99991231_4","0","0","1","0","0","0","0","20170901","20180901"
"Elkview_#0_2016-02-05T14:40:49_20170901_99991231_20170405_99991231_4","0","0","1","0","0","0","0","20170901","20180901"
"Elkview_#0_2016-02-05T14:49:20_20170901_99991231_20170405_99991231_3","0","1","0","0","0","0","0","20170901","20180901"
"Elkview_#0_2016-02-05T14:49:20_20170901_99991231_20170405_99991231_4","0","0","1","0","0","0","0","20170901","20180901"
"Elkview_#0_2016-02-05T14:50:13_20170901_99991231_20170405_99991231_4","0","0","1","0","0","0","0","20170901","20180901"
"Elkview_#0_2016-02-08T09:42:24_20170901_99991231_20170405_99991231_6","0","0","0","0","1","0","0","20170901","20180901"
"Elkview_#0_2016-02-08T16:10:01_20170901_99991231_20170405_99991231_7","0","0","0","0","0","1","0","20170901","20180901"
"Elkview_#1_2016-02-08T16:11:07_20170901_99991231_20170405_99991231_7","0","0","0","0","0","1","0","20170901","20180901"
"Elkview_0700_Feb  5 2016  2:40:22:883PM_20170901_99991231_20170405_99991231_3","0","1","0","0","0","0","0","20170901","20180901"
"Elkview_0730_Feb  8 2016  4:09:21:190PM_20170901_99991231_20170405_99991231_7","0","0","0","0","0","1","0","20170901","20180901"
"Elkview_0830_20170901_99991231_20170405_99991231_6","0","0","0","0","1","0","0","20170901","20180901"
"Elkview_0830_20170901_99991231_20170530_99991231_2","1","0","0","0","0","0","0","20170901","20180901"
"Elkview_0924_20170901_99991231_20170405_99991231_4","0","0","1","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T09:03:54_20170901_99991231_20170329_99991231_3","0","1","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T09:03:54_20170901_99991231_20170329_99991231_6","0","0","0","0","1","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T09:07:25_20170901_99991231_20170408_99991231_3","0","1","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T09:07:25_20170901_99991231_20170408_99991231_6","0","0","0","0","1","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T09:07:25_20170901_99991231_20170530_99991231_2","1","0","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T09:08:09_20170901_99991231_20170408_99991231_3","0","1","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T09:08:09_20170901_99991231_20170408_99991231_5","0","0","0","1","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T09:08:09_20170901_99991231_20170408_99991231_6","0","0","0","0","1","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T09:08:09_20170901_99991231_20170530_99991231_2","1","0","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T09:09:22_20170901_99991231_20170530_99991231_2","1","0","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T09:10:07_20170901_99991231_20170408_99991231_3","0","1","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T09:10:07_20170901_99991231_20170408_99991231_4","0","0","1","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T10:49:13_20170901_99991231_20170404_99991231_4","0","0","1","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T10:49:13_20170901_99991231_20170404_99991231_5","0","0","0","1","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T10:51:29_20170901_99991231_20170404_99991231_3","0","1","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T10:56:57_20170901_99991231_20170405_99991231_4","0","0","1","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T10:56:57_20170901_99991231_20170405_99991231_6","0","0","0","0","1","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T10:57:30_20170901_99991231_20170405_99991231_5","0","0","0","1","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T10:59:16_20170901_99991231_20170530_99991231_2","1","0","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T11:04:03_20170901_99991231_20170405_99991231_5","0","0","0","1","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T11:13:46_20170901_99991231_20170405_99991231_3","0","1","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T11:13:46_20170901_99991231_20170405_99991231_6","0","0","0","0","1","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T12:09:50_20170901_99991231_20170404_99991231_3","0","1","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T12:09:50_20170901_99991231_20170404_99991231_6","0","0","0","0","1","0","0","20170901","20180901"
"07 - Campbells Creek_#0_2016-02-08T09:46:08_20170901_99991231_20170405_99991231_3","0","1","0","0","0","0","0","20170901","20180901"
"07 - Campbells Creek_#0_2016-02-08T09:46:08_20170901_99991231_20170405_99991231_4","0","0","1","0","0","0","0","20170901","20180901"
"07 - Campbells Creek_#0_2016-02-08T09:46:34_20170901_99991231_20170405_99991231_5","0","0","0","1","0","0","0","20170901","20180901"
"07 - Campbells Creek_#0_2016-02-08T09:56:55_20170901_99991231_20170404_99991231_5","0","0","0","1","0","0","0","20170901","20180901"
"07 - Campbells Creek_#0_2016-02-08T10:03:00_20170901_99991231_20170530_99991231_2","1","0","0","0","0","0","0","20170901","20180901"
"07 - Campbells Creek_#0_2016-02-08T10:03:33_20170901_99991231_20170404_99991231_3","0","1","0","0","0","0","0","20170901","20180901"
"07 - Campbells Creek_0645_20170901_99991231_20170405_99991231_3","0","1","0","0","0","0","0","20170901","20180901"
"07 - Campbells Creek_0645_20170901_99991231_20170405_99991231_6","0","0","0","0","1","0","0","20170901","20180901"
"Elkview_#0_2016-02-05T14:40:49_20170901_99991231_20170405_99991231_5","0","0","0","1","0","0","0","20170901","20180901"
"Elkview_#0_2016-02-05T14:49:20_20170901_99991231_20170405_99991231_5","0","0","0","1","0","0","0","20170901","20180901"
"Elkview_#0_2016-02-08T09:17:43_20170901_99991231_20170530_99991231_2","1","0","0","0","0","0","0","20170901","20180901"
"Elkview_#0_2016-02-08T09:41:48_20170901_99991231_20170530_99991231_2","1","0","0","0","0","0","0","20170901","20180901"
"Elkview_#0_2016-02-08T16:30:07_20170901_99991231_20170405_99991231_7","0","0","0","0","0","1","0","20170901","20180901"
"Elkview_0924_20170901_99991231_20170405_99991231_6","0","0","0","0","1","0","0","20170901","20180901"
"Elkview_0924_20170901_99991231_20170530_99991231_2","1","0","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T09:03:54_20170901_99991231_20170329_99991231_5","0","0","0","1","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T09:08:09_20170901_99991231_20170408_99991231_4","0","0","1","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T09:10:54_20170901_99991231_20170530_99991231_2","1","0","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T09:16:43_20170901_99991231_20170404_99991231_6","0","0","0","0","1","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T10:47:52_20170901_99991231_20170530_99991231_2","1","0","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T10:51:29_20170901_99991231_20170404_99991231_4","0","0","1","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T10:56:57_20170901_99991231_20170405_99991231_5","0","0","0","1","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T10:56:57_20170901_99991231_20170530_99991231_2","1","0","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T10:57:30_20170901_99991231_20170405_99991231_4","0","0","1","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T10:59:49_20170901_99991231_20170530_99991231_2","1","0","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T11:01:00_20170901_99991231_20170405_99991231_6","0","0","0","0","1","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T11:04:03_20170901_99991231_20170405_99991231_6","0","0","0","0","1","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T11:13:46_20170901_99991231_20170405_99991231_4","0","0","1","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T12:25:40_20170901_99991231_20170404_99991231_6","0","0","0","0","1","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T12:28:46_20170901_99991231_20170404_99991231_6","0","0","0","0","1","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#1_2016-02-08T09:08:09_20170901_99991231_20170408_99991231_4","0","0","1","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#1_2016-02-08T09:08:09_20170901_99991231_20170408_99991231_6","0","0","0","0","1","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#1_2016-02-08T09:08:09_20170901_99991231_20170530_99991231_2","1","0","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#1_2016-02-08T09:10:54_20170901_99991231_20170408_99991231_5","0","0","0","1","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#1_2016-02-08T09:10:54_20170901_99991231_20170408_99991231_6","0","0","0","0","1","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#1_2016-02-08T09:17:14_20170901_99991231_20170404_99991231_3","0","1","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#1_2016-02-08T09:17:14_20170901_99991231_20170404_99991231_4","0","0","1","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#1_2016-02-08T09:17:14_20170901_99991231_20170530_99991231_2","1","0","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#1_2016-02-08T10:49:13_20170901_99991231_20170404_99991231_5","0","0","0","1","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#1_2016-02-08T10:56:57_20170901_99991231_20170405_99991231_4","0","0","1","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#1_2016-02-08T10:56:57_20170901_99991231_20170405_99991231_5","0","0","0","1","0","0","0","20170901","20180901"
"07 - Campbells Creek_#0_2016-02-08T09:46:08_20170901_99991231_20170405_99991231_6","0","0","0","0","1","0","0","20170901","20180901"
"07 - Campbells Creek_#0_2016-02-08T09:47:20_20170901_99991231_20170530_99991231_2","1","0","0","0","0","0","0","20170901","20180901"
"07 - Campbells Creek_#0_2016-02-08T10:03:33_20170901_99991231_20170404_99991231_5","0","0","0","1","0","0","0","20170901","20180901"
"Elkview_#0_2016-02-05T14:40:49_20170901_99991231_20170405_99991231_3","0","1","0","0","0","0","0","20170901","20180901"
"Elkview_#0_2016-02-05T14:40:49_20170901_99991231_20170530_99991231_2","1","0","0","0","0","0","0","20170901","20180901"
"Elkview_#0_2016-02-05T14:50:13_20170901_99991231_20170405_99991231_6","0","0","0","0","1","0","0","20170901","20180901"
"Elkview_#0_2016-02-05T14:50:13_20170901_99991231_20170530_99991231_2","1","0","0","0","0","0","0","20170901","20180901"
"Elkview_#0_2016-02-08T09:41:48_20170901_99991231_20170405_99991231_3","0","1","0","0","0","0","0","20170901","20180901"
"Elkview_#0_2016-02-08T09:41:48_20170901_99991231_20170405_99991231_6","0","0","0","0","1","0","0","20170901","20180901"
"Elkview_#0_2016-02-08T16:32:11_20170901_99991231_20170405_99991231_7","0","0","0","0","0","1","0","20170901","20180901"
"Elkview_0700_Feb  5 2016  2:40:22:883PM_20170901_99991231_20170405_99991231_4","0","0","1","0","0","0","0","20170901","20180901"
"Elkview_0700_Feb  5 2016  2:40:22:883PM_20170901_99991231_20170530_99991231_2","1","0","0","0","0","0","0","20170901","20180901"
"Elkview_0924_20170901_99991231_20170405_99991231_3","0","1","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T09:10:54_20170901_99991231_20170408_99991231_5","0","0","0","1","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T09:16:43_20170901_99991231_20170404_99991231_4","0","0","1","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T09:16:43_20170901_99991231_20170404_99991231_5","0","0","0","1","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T10:46:33_20170901_99991231_20170404_99991231_5","0","0","0","1","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T10:46:33_20170901_99991231_20170530_99991231_2","1","0","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T10:47:52_20170901_99991231_20170404_99991231_5","0","0","0","1","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T10:49:42_20170901_99991231_20170404_99991231_5","0","0","0","1","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T10:51:29_20170901_99991231_20170404_99991231_6","0","0","0","0","1","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T10:59:16_20170901_99991231_20170405_99991231_6","0","0","0","0","1","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T11:01:00_20170901_99991231_20170405_99991231_3","0","1","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T11:01:00_20170901_99991231_20170530_99991231_2","1","0","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T11:04:58_20170901_99991231_20170405_99991231_5","0","0","0","1","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T11:05:32_20170901_99991231_20170530_99991231_2","1","0","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T12:09:50_20170901_99991231_20170404_99991231_5","0","0","0","1","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T12:24:19_20170901_99991231_20170530_99991231_2","1","0","0","0","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T12:27:16_20170901_99991231_20170404_99991231_5","0","0","0","1","0","0","0","20170901","20180901"
"Route 01 - St. Albans / West Charleston_#0_2016-02-08T12:27:45_20170901_99991231_20170404_99991231_3","0","1","0","0","0","0","0","20170901","20180901"
