stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type, parent_station,stop_timezone,wheelchair_boarding
900002,,St. Albans Station,Station in Saint Albans, WV,38.385800,-81.835270,,,1,,,1
100079,,US 35 & US 60,US 35 & US 60,38.397002,-81.855959,1,,,1,,1
100078,,St. Albans Station,St. Albans stop A,38.386010,-81.835480,,,0,,,
201111,,,,38.38522,-81.83158,,,1,,,
201112,,9th St Shelt,Shelter,38.38433,-81.82803,,,1,,,
501113,,,,38.38371,-81.82572,,,,,,
201114,,ParkStShelt,Shelter,38.38113,-81.8253,,,,,,
501115,,,,38.37974,-81.82049,,,,,,
501116,,,,38.3781,-81.81648,,,,,,
501117,,,,38.37779,-81.81143,,,,,,
201118,,,,38.3771,-81.80691,,,,,,
501119,,,,38.37632,-81.80202,,,,,,
501120,,,,38.37524,-81.79517,,,,,,
301121,,Grn Val Rd,Bench,38.37526,-81.79179,,,,,,
501124,,,,38.37505,-81.78912,,,,,,
501125,,,,38.37454,-81.78344,,,,,,
501126,,,,38.37436,-81.7813,,,,,,
501127,,,,38.37476,-81.77969,,,,,,
501128,,,,38.37422,-81.77709,,,,,,
501129,,,,38.37149,-81.77051,,,,,,
501130,,,,38.36866,-81.76634,,,,,,
501131,,,,38.36534,-81.76321,,,,,,
201132,,KanTpkShelt,Shelter,38.35852,-81.7567,,,1,,,
501133,,,,38.35665,-81.75348,,,,,,
501134,,,,38.35429,-81.74806,,,,,,
501136,,,,38.35366,-81.74422,,,,,,
501137,,,,38.35368,-81.74062,,,,,,
501138,,,,38.35372,-81.73658,,,,,,
201139,,Chestnut St,Shelter,38.35436,-81.73176,,,,,,
501140,,,,38.3548,-81.72927,,,,,,
101141,,Thomas Hospital,Shelter,38.35551,-81.72655,,,1,,,
501142,,,,38.35618,-81.72471,,,,,,
501143,,,,38.35732,-81.72178,,,,,,
201144,,KennaDrStop,Shelter,38.35794,-81.72006,,,1,,,
501145,,,,38.35903,-81.71692,,,,,,
201146,,GrtrChasDialysisShelt,Shelter,38.36264,-81.71405,,,1,,,
201147,,WWWVShelt,Shelter,38.36412,-81.70829,,,1,,,
501148,,,,38.36735,-81.70131,,,,,,
501149,,,,38.36832,-81.69923,,,,,,
201150,,MoundShelt,Shelter,38.3692,-81.6961,,,1,,,
201151,,SpeedwayShelt,Shelter,38.36837,-81.69123,,,1,,,
501152,,,,38.36773,-81.68742,,,,,,
501153,,,,38.36718,-81.68459,,,,,,
501154,,,,38.3634,-81.6704,,,,,,
501024,,,,38.3694,-81.66571,,,,,,
101025,,4th&StockIn,,38.36853,-81.66387,,,1,,,
501026,,,,38.36691,-81.66041,,,,,,
501027,,,,38.36626,-81.65795,,,,,,
501028,,,,38.36461,-81.65452,,,,,,
501029,,,,38.36396,-81.6532,,,,,,
501030,,,,38.3624,-81.64996,,,,,,
201031,,MarylandAveShelt,Shelter,38.36083,-81.64804,,,1,,,
501032,,,,38.35859,-81.64625,,,,,,
501033,,,,38.3573,-81.64515,,,,,,
501034,,,,38.3534,-81.64111,,,,,,
501035,,,,38.35184,-81.63924,,,,,,
100001,LTM,Laidley St Transit Mall,,38.3521,-81.635,,,0,,,
