shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
R2_km_out, 38.351851, -81.635506, 1, 0.00
R2_km_out, 38.351820, -81.635513, 2, 0.00
R2_km_out, 38.352440, -81.634581, 3, 0.07
R2_km_out, 38.351682, -81.633995, 4, 0.13
R2_km_out, 38.350827, -81.633278, 5, 0.20
R2_km_out, 38.349886, -81.632550, 6, 0.28
R2_km_out, 38.348479, -81.630748, 7, 0.41
R2_km_out, 38.347195, -81.629192, 8, 0.54
R2_km_out, 38.347867, -81.628257, 9, 0.61
R2_km_out, 38.346633, -81.626765, 10, 0.72
R2_km_out, 38.345057, -81.624859, 11, 0.87
R2_km_out, 38.344691, -81.624393, 12, 0.91
R2_km_out, 38.344084, -81.623496, 13, 0.97
R2_km_out, 38.343026, -81.621923, 14, 1.09
R2_km_out, 38.342101, -81.619967, 15, 1.21
R2_km_out, 38.340956, -81.617533, 16, 1.36
R2_km_out, 38.340205, -81.616053, 17, 1.46
R2_km_out, 38.339123, -81.614079, 18, 1.59
R2_km_out, 38.338174, -81.614905, 19, 1.67
R2_km_out, 38.337360, -81.615636, 20, 1.74
R2_km_out, 38.336404, -81.616515, 21, 1.82
R2_km_out, 38.335824, -81.614700, 22, 1.93
R2_km_out, 38.335499, -81.613335, 23, 2.00
R2_km_out, 38.335230, -81.611941, 24, 2.08
R2_km_out, 38.335170, -81.611041, 25, 2.13
R2_km_out, 38.335464, -81.610951, 26, 2.15
R2_km_out, 38.337237, -81.610103, 27, 2.28
R2_km_out, 38.336882, -81.608932, 28, 2.35
R2_km_out, 38.336669, -81.608168, 29, 2.39
R2_km_out, 38.336524, -81.607573, 30, 2.43
R2_km_out, 38.336206, -81.606003, 31, 2.52
R2_km_out, 38.335800, -81.603942, 32, 2.63
R2_km_out, 38.335369, -81.601303, 33, 2.78
R2_km_out, 38.335105, -81.599830, 34, 2.86
R2_km_out, 38.334919, -81.598850, 35, 2.91
R2_km_out, 38.334671, -81.598368, 36, 2.95
R2_km_out, 38.334435, -81.598143, 37, 2.97
R2_km_out, 38.333993, -81.597919, 38, 3.00
R2_km_out, 38.333394, -81.597916, 39, 3.04
R2_km_out, 38.331476, -81.598175, 40, 3.17
R2_km_out, 38.330360, -81.598343, 41, 3.25
R2_km_out, 38.328257, -81.598593, 42, 3.40
R2_km_out, 38.328001, -81.595454, 43, 3.57
R2_km_out, 38.327490, -81.593121, 44, 3.70
R2_km_out, 38.327181, -81.591713, 45, 3.78
R2_km_out, 38.325901, -81.589521, 46, 3.93
R2_km_out, 38.324424, -81.586920, 47, 4.10
R2_km_out, 38.322935, -81.584317, 48, 4.28
R2_km_out, 38.321431, -81.581714, 49, 4.45
R2_km_out, 38.319949, -81.579153, 50, 4.62
R2_km_out, 38.318259, -81.576230, 51, 4.82
R2_km_out, 38.316782, -81.573652, 52, 4.99
R2_km_out, 38.315282, -81.571057, 53, 5.17
R2_km_out, 38.313791, -81.568477, 54, 5.34
R2_km_out, 38.312895, -81.569305, 55, 5.42
R2_km_out, 38.311355, -81.566633, 56, 5.60
R2_km_out, 38.311194, -81.566786, 57, 5.61
R2_km_out, 38.311055, -81.566917, 58, 5.63
R2_km_out, 38.311029, -81.566868, 59, 5.63
R2_km_out, 38.311112, -81.566487, 60, 5.65
