trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type, drop_off_type,shape_dist_traveled
KRT_Saturday-2kc_in_skm_tm-a,6:05:00,6:05:00,2002,100,,,,
KRT_Saturday-2kc_in_skm_tm-a,,,2032,101,,,,
KRT_Saturday-2kc_in_skm_tm-a,,,2031,102,,,,
KRT_Saturday-2kc_in_skm_tm-a,,,2030,103,,,,
KRT_Saturday-2kc_in_skm_tm-a,,,2029,104,,,,
KRT_Saturday-2kc_in_skm_tm-a,,,2028,105,,,,
KRT_Saturday-2kc_in_skm_tm-a,,,2033,106,,,,
KRT_Saturday-2kc_in_skm_tm-a,,,2026,107,,,,
KRT_Saturday-2kc_in_skm_tm-a,,,2025,108,,,,
KRT_Saturday-2kc_in_skm_tm-a,,,2024,109,,,,
KRT_Saturday-2kc_in_skm_tm-a,,,2023,110,,,,
KRT_Saturday-2kc_in_skm_tm-a,,,2034,111,,,,
KRT_Saturday-2kc_in_skm_tm-a,,,2021,112,,,,
KRT_Saturday-2kc_in_skm_tm-a,,,2020,113,,,,
KRT_Saturday-2kc_in_skm_tm-a,,,2019,114,,,,
KRT_Saturday-2kc_in_skm_tm-a,6:16:00,6:16:00,2001,115,,,,
KRT_Saturday-2kc_in_skm_tm-a,,,2017,116,,,,
KRT_Saturday-2kc_in_skm_tm-a,,,2016,117,,,,
KRT_Saturday-2kc_in_skm_tm-a,,,2015,118,,,,
KRT_Saturday-2kc_in_skm_tm-a,,,2014,119,,,,
KRT_Saturday-2kc_in_skm_tm-a,,,2013,120,,,,
KRT_Saturday-2kc_in_skm_tm-a,,,2012,121,,,,
KRT_Saturday-2kc_in_skm_tm-a,,,2035,122,,,,
KRT_Saturday-2kc_in_skm_tm-a,,,2036,123,,,,
KRT_Saturday-2kc_in_skm_tm-a,,,2037,124,,,,
KRT_Saturday-2kc_in_skm_tm-a,6:30:00,6:30:00,1,125,,,,
KRT_Saturday-2kc_in_skm_tm-b,8:00:00,8:00:00,2002,100,,,,
KRT_Saturday-2kc_in_skm_tm-b,,,2032,101,,,,
KRT_Saturday-2kc_in_skm_tm-b,,,2031,102,,,,
KRT_Saturday-2kc_in_skm_tm-b,,,2030,103,,,,
KRT_Saturday-2kc_in_skm_tm-b,,,2029,104,,,,
KRT_Saturday-2kc_in_skm_tm-b,,,2028,105,,,,
KRT_Saturday-2kc_in_skm_tm-b,,,2033,106,,,,
KRT_Saturday-2kc_in_skm_tm-b,,,2026,107,,,,
KRT_Saturday-2kc_in_skm_tm-b,,,2025,108,,,,
KRT_Saturday-2kc_in_skm_tm-b,,,2024,109,,,,
KRT_Saturday-2kc_in_skm_tm-b,,,2023,110,,,,
KRT_Saturday-2kc_in_skm_tm-b,,,2034,111,,,,
KRT_Saturday-2kc_in_skm_tm-b,,,2021,112,,,,
KRT_Saturday-2kc_in_skm_tm-b,,,2020,113,,,,
KRT_Saturday-2kc_in_skm_tm-b,,,2019,114,,,,
KRT_Saturday-2kc_in_skm_tm-b,8:11:00,8:11:00,2001,115,,,,
KRT_Saturday-2kc_in_skm_tm-b,,,2017,116,,,,
KRT_Saturday-2kc_in_skm_tm-b,,,2016,117,,,,
KRT_Saturday-2kc_in_skm_tm-b,,,2015,118,,,,
KRT_Saturday-2kc_in_skm_tm-b,,,2014,119,,,,
KRT_Saturday-2kc_in_skm_tm-b,,,2013,120,,,,
KRT_Saturday-2kc_in_skm_tm-b,,,2012,121,,,,
KRT_Saturday-2kc_in_skm_tm-b,,,2035,122,,,,
KRT_Saturday-2kc_in_skm_tm-b,,,2036,123,,,,
KRT_Saturday-2kc_in_skm_tm-b,,,2037,124,,,,
KRT_Saturday-2kc_in_skm_tm-b,8:25:00,8:25:00,1,125,,,,
KRT_Saturday-2kc_in_skm_tm-c,9:00:00,9:00:00,2002,100,,,,
KRT_Saturday-2kc_in_skm_tm-c,,,2032,101,,,,
KRT_Saturday-2kc_in_skm_tm-c,,,2031,102,,,,
KRT_Saturday-2kc_in_skm_tm-c,,,2030,103,,,,
KRT_Saturday-2kc_in_skm_tm-c,,,2029,104,,,,
KRT_Saturday-2kc_in_skm_tm-c,,,2028,105,,,,
KRT_Saturday-2kc_in_skm_tm-c,,,2033,106,,,,
KRT_Saturday-2kc_in_skm_tm-c,,,2026,107,,,,
KRT_Saturday-2kc_in_skm_tm-c,,,2025,108,,,,
KRT_Saturday-2kc_in_skm_tm-c,,,2024,109,,,,
KRT_Saturday-2kc_in_skm_tm-c,,,2023,110,,,,
KRT_Saturday-2kc_in_skm_tm-c,,,2034,111,,,,
KRT_Saturday-2kc_in_skm_tm-c,,,2021,112,,,,
KRT_Saturday-2kc_in_skm_tm-c,,,2020,113,,,,
KRT_Saturday-2kc_in_skm_tm-c,,,2019,114,,,,
KRT_Saturday-2kc_in_skm_tm-c,9:11:00,9:11:00,2001,115,,,,
KRT_Saturday-2kc_in_skm_tm-c,,,2017,116,,,,
KRT_Saturday-2kc_in_skm_tm-c,,,2016,117,,,,
KRT_Saturday-2kc_in_skm_tm-c,,,2015,118,,,,
KRT_Saturday-2kc_in_skm_tm-c,,,2014,119,,,,
KRT_Saturday-2kc_in_skm_tm-c,,,2013,120,,,,
KRT_Saturday-2kc_in_skm_tm-c,,,2012,121,,,,
KRT_Saturday-2kc_in_skm_tm-c,,,2035,122,,,,
KRT_Saturday-2kc_in_skm_tm-c,,,2036,123,,,,
KRT_Saturday-2kc_in_skm_tm-c,,,2037,124,,,,
KRT_Saturday-2kc_in_skm_tm-c,9:25:00,9:25:00,1,125,,,,
KRT_Saturday-2kc_in_skm_tm-d,10:00:00,10:00:00,2002,100,,,,
KRT_Saturday-2kc_in_skm_tm-d,,,2032,101,,,,
KRT_Saturday-2kc_in_skm_tm-d,,,2031,102,,,,
KRT_Saturday-2kc_in_skm_tm-d,,,2030,103,,,,
KRT_Saturday-2kc_in_skm_tm-d,,,2029,104,,,,
KRT_Saturday-2kc_in_skm_tm-d,,,2028,105,,,,
KRT_Saturday-2kc_in_skm_tm-d,,,2033,106,,,,
KRT_Saturday-2kc_in_skm_tm-d,,,2026,107,,,,
KRT_Saturday-2kc_in_skm_tm-d,,,2025,108,,,,
KRT_Saturday-2kc_in_skm_tm-d,,,2024,109,,,,
KRT_Saturday-2kc_in_skm_tm-d,,,2023,110,,,,
KRT_Saturday-2kc_in_skm_tm-d,,,2034,111,,,,
KRT_Saturday-2kc_in_skm_tm-d,,,2021,112,,,,
KRT_Saturday-2kc_in_skm_tm-d,,,2020,113,,,,
KRT_Saturday-2kc_in_skm_tm-d,,,2019,114,,,,
KRT_Saturday-2kc_in_skm_tm-d,10:11:00,10:11:00,2001,115,,,,
KRT_Saturday-2kc_in_skm_tm-d,,,2017,116,,,,
KRT_Saturday-2kc_in_skm_tm-d,,,2016,117,,,,
KRT_Saturday-2kc_in_skm_tm-d,,,2015,118,,,,
KRT_Saturday-2kc_in_skm_tm-d,,,2014,119,,,,
KRT_Saturday-2kc_in_skm_tm-d,,,2013,120,,,,
KRT_Saturday-2kc_in_skm_tm-d,,,2012,121,,,,
KRT_Saturday-2kc_in_skm_tm-d,,,2035,122,,,,
KRT_Saturday-2kc_in_skm_tm-d,,,2036,123,,,,
KRT_Saturday-2kc_in_skm_tm-d,,,2037,124,,,,
KRT_Saturday-2kc_in_skm_tm-d,10:25:00,10:25:00,1,125,,,,
KRT_Saturday-2kc_in_skm_tm-e,11:00:00,11:00:00,2002,100,,,,
KRT_Saturday-2kc_in_skm_tm-e,,,2032,101,,,,
KRT_Saturday-2kc_in_skm_tm-e,,,2031,102,,,,
KRT_Saturday-2kc_in_skm_tm-e,,,2030,103,,,,
KRT_Saturday-2kc_in_skm_tm-e,,,2029,104,,,,
KRT_Saturday-2kc_in_skm_tm-e,,,2028,105,,,,
KRT_Saturday-2kc_in_skm_tm-e,,,2033,106,,,,
KRT_Saturday-2kc_in_skm_tm-e,,,2026,107,,,,
KRT_Saturday-2kc_in_skm_tm-e,,,2025,108,,,,
KRT_Saturday-2kc_in_skm_tm-e,,,2024,109,,,,
KRT_Saturday-2kc_in_skm_tm-e,,,2023,110,,,,
KRT_Saturday-2kc_in_skm_tm-e,,,2034,111,,,,
KRT_Saturday-2kc_in_skm_tm-e,,,2021,112,,,,
KRT_Saturday-2kc_in_skm_tm-e,,,2020,113,,,,
KRT_Saturday-2kc_in_skm_tm-e,,,2019,114,,,,
KRT_Saturday-2kc_in_skm_tm-e,11:11:00,11:11:00,2001,115,,,,
KRT_Saturday-2kc_in_skm_tm-e,,,2017,116,,,,
KRT_Saturday-2kc_in_skm_tm-e,,,2016,117,,,,
KRT_Saturday-2kc_in_skm_tm-e,,,2015,118,,,,
