shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled,d_between_pts_mi,notes
kwd_rowl,39.472020,-79.688230,0,0.000,0.000,
kwd_rowl,39.472020,-79.688100,5,0.007,0.007,
kwd_rowl,39.472010,-79.687300,10,0.050,0.043,
kwd_rowl,39.471990,-79.685510,15,0.145,0.096,
kwd_rowl,39.471970,-79.683660,20,0.244,0.099,
kwd_rowl,39.471940,-79.681460,25,0.362,0.117,
kwd_rowl,39.471930,-79.680580,30,0.409,0.047,
kwd_rowl,39.471950,-79.679050,35,0.490,0.082,
kwd_rowl,39.471950,-79.678620,40,0.513,0.023,
kwd_rowl,39.471940,-79.678180,45,0.537,0.024,
kwd_rowl,39.471930,-79.678020,50,0.545,0.009,
kwd_rowl,39.471900,-79.677930,55,0.550,0.005,
kwd_rowl,39.471880,-79.677850,60,0.555,0.004,
kwd_rowl,39.471740,-79.677550,65,0.574,0.019,
kwd_rowl,39.471580,-79.677250,70,0.593,0.019,
kwd_rowl,39.471390,-79.676890,75,0.616,0.023,
kwd_rowl,39.470840,-79.676100,80,0.673,0.057,
kwd_rowl,39.470460,-79.675550,85,0.713,0.039,
kwd_rowl,39.470020,-79.674580,90,0.773,0.060,
kwd_rowl,39.469520,-79.673210,95,0.854,0.081,
kwd_rowl,39.469100,-79.672030,100,0.923,0.069,
kwd_rowl,39.469000,-79.671770,105,0.939,0.016,
kwd_rowl,39.468880,-79.671430,110,0.959,0.020,
kwd_rowl,39.468420,-79.670120,115,1.035,0.077,
kwd_rowl,39.468420,-79.670100,120,1.036,0.001,
kwd_rowl,39.468320,-79.669810,125,1.053,0.017,
kwd_rowl,39.468230,-79.669600,130,1.066,0.013,
kwd_rowl,39.467690,-79.668660,135,1.129,0.063,
kwd_rowl,39.467600,-79.668390,140,1.145,0.016,
kwd_rowl,39.467530,-79.668210,145,1.155,0.011,
kwd_rowl,39.467510,-79.668120,150,1.160,0.005,
kwd_rowl,39.467490,-79.668040,155,1.165,0.004,
kwd_rowl,39.467480,-79.667920,160,1.171,0.006,
kwd_rowl,39.467500,-79.667630,165,1.187,0.016,
kwd_rowl,39.467510,-79.667490,170,1.194,0.008,
kwd_rowl,39.467600,-79.667240,175,1.209,0.015,
kwd_rowl,39.467750,-79.666780,180,1.236,0.027,
kwd_rowl,39.467920,-79.666250,185,1.266,0.031,
kwd_rowl,39.467970,-79.666110,190,1.275,0.008,
kwd_rowl,39.468060,-79.665850,195,1.290,0.015,
kwd_rowl,39.468240,-79.665340,200,1.320,0.030,
kwd_rowl,39.468350,-79.665000,205,1.339,0.020,
kwd_rowl,39.468400,-79.664830,210,1.349,0.010,
kwd_rowl,39.468440,-79.664640,215,1.360,0.011,
kwd_rowl,39.468480,-79.664400,220,1.373,0.013,
kwd_rowl,39.468510,-79.664060,225,1.391,0.018,
kwd_rowl,39.468540,-79.663670,230,1.412,0.021,
kwd_rowl,39.468600,-79.663250,235,1.435,0.023,
kwd_rowl,39.468630,-79.662990,240,1.449,0.014,
kwd_rowl,39.468650,-79.662830,245,1.457,0.009,
kwd_rowl,39.468680,-79.662710,250,1.464,0.007,
kwd_rowl,39.468720,-79.662570,255,1.472,0.008,
kwd_rowl,39.468790,-79.662400,260,1.482,0.010,
kwd_rowl,39.468950,-79.662040,265,1.505,0.022,
kwd_rowl,39.469030,-79.661860,270,1.516,0.011,
kwd_rowl,39.469050,-79.661800,275,1.519,0.003,
kwd_rowl,39.469080,-79.661720,280,1.524,0.005,
kwd_rowl,39.469150,-79.661510,285,1.536,0.012,
kwd_rowl,39.469230,-79.661280,290,1.550,0.013,
kwd_rowl,39.469290,-79.661050,295,1.563,0.013,
kwd_rowl,39.469310,-79.660900,300,1.571,0.008,
kwd_rowl,39.469320,-79.660730,305,1.580,0.009,
kwd_rowl,39.469300,-79.660530,310,1.591,0.011,
kwd_rowl,39.469260,-79.660260,315,1.605,0.015,
kwd_rowl,39.469160,-79.659810,320,1.630,0.025,
kwd_rowl,39.469050,-79.659360,325,1.655,0.025,
kwd_rowl,39.468990,-79.658780,330,1.687,0.031,
kwd_rowl,39.468960,-79.658520,335,1.701,0.014,
kwd_rowl,39.468970,-79.658000,340,1.729,0.028,
kwd_rowl,39.469040,-79.656820,345,1.792,0.063,
kwd_rowl,39.469050,-79.656510,350,1.808,0.017,
kwd_rowl,39.469050,-79.656390,355,1.815,0.006,
kwd_rowl,39.469030,-79.656260,360,1.822,0.007,
kwd_rowl,39.468970,-79.656060,365,1.833,0.011,
kwd_rowl,39.468910,-79.655920,370,1.842,0.009,
kwd_rowl,39.468580,-79.655620,375,1.870,0.028,
kwd_rowl,39.468230,-79.655310,380,1.899,0.029,
kwd_rowl,39.467660,-79.654800,385,1.947,0.048,
kwd_rowl,39.467050,-79.654020,390,2.006,0.059,
kwd_rowl,39.466810,-79.653620,395,2.033,0.027,
kwd_rowl,39.466420,-79.652840,400,2.083,0.050,
kwd_rowl,39.466180,-79.652290,405,2.117,0.034,
kwd_rowl,39.465850,-79.651790,410,2.152,0.035,
kwd_rowl,39.465650,-79.651590,415,2.169,0.017,
kwd_rowl,39.465450,-79.651460,420,2.185,0.015,
kwd_rowl,39.465100,-79.651260,425,2.211,0.026,
kwd_rowl,39.464800,-79.651130,430,2.233,0.022,
kwd_rowl,39.464400,-79.650930,435,2.263,0.030,
kwd_rowl,39.464150,-79.650830,440,2.281,0.018,
kwd_rowl,39.463830,-79.650740,445,2.303,0.023,
kwd_rowl,39.463630,-79.651040,450,2.325,0.021,
kwd_rowl,39.463500,-79.651260,455,2.339,0.015,
kwd_rowl,39.463110,-79.651760,460,2.377,0.038,
kwd_rowl,39.462870,-79.652040,465,2.400,0.022,
kwd_rowl,39.462770,-79.652140,470,2.408,0.009,
kwd_rowl,39.462580,-79.652290,475,2.424,0.015,
kwd_rowl,39.461900,-79.654010,480,2.527,0.103,
kwd_rowl,39.461520,-79.655210,485,2.596,0.069,
kwd_rowl,39.461320,-79.655890,490,2.635,0.039,
kwd_rowl,39.460940,-79.657370,495,2.718,0.083,
kwd_rowl,39.460700,-79.658490,500,2.781,0.062,
kwd_rowl,39.460480,-79.659440,505,2.833,0.053,
kwd_rowl,39.460140,-79.660900,510,2.915,0.081,
kwd_rowl,39.459870,-79.661960,515,2.975,0.060,
kwd_rowl,39.459290,-79.663640,520,3.073,0.098,
kwd_rowl,39.458740,-79.664980,525,3.154,0.081,
kwd_rowl,39.457880,-79.666870,530,3.271,0.117,
kwd_rowl,39.457120,-79.668320,535,3.365,0.094,
kwd_rowl,39.456400,-79.669700,540,3.454,0.089,
kwd_rowl,39.455740,-79.670640,545,3.521,0.068,
kwd_rowl,39.453770,-79.672560,550,3.692,0.171,
kwd_rowl,39.451160,-79.675110,555,3.918,0.226,
kwd_rowl,39.450390,-79.675870,560,3.985,0.067,
kwd_rowl,39.449970,-79.676240,565,4.020,0.035,
kwd_rowl,39.449670,-79.676490,570,4.045,0.025,
kwd_rowl,39.449430,-79.676670,575,4.064,0.019,
kwd_rowl,39.449100,-79.676890,580,4.090,0.026,
kwd_rowl,39.448630,-79.677140,585,4.125,0.035,
kwd_rowl,39.448090,-79.677430,590,4.165,0.040,
kwd_rowl,39.447590,-79.677800,595,4.205,0.040,
kwd_rowl,39.447190,-79.678110,600,4.237,0.032,
kwd_rowl,39.446620,-79.678730,605,4.289,0.051,
kwd_rowl,39.445950,-79.679400,610,4.347,0.059,
kwd_rowl,39.445280,-79.680050,615,4.405,0.058,
kwd_rowl,39.443540,-79.681880,620,4.560,0.155,
kwd_rowl,39.443170,-79.682310,625,4.595,0.034,
kwd_rowl,39.442340,-79.683150,630,4.668,0.073,
kwd_rowl,39.442100,-79.683310,635,4.686,0.019,
kwd_rowl,39.441650,-79.683570,640,4.720,0.034,
kwd_rowl,39.440910,-79.683840,645,4.774,0.053,
kwd_rowl,39.440300,-79.684000,650,4.817,0.043,
kwd_rowl,39.439790,-79.684100,655,4.852,0.036,
kwd_rowl,39.439160,-79.684110,660,4.896,0.044,
kwd_rowl,39.437950,-79.684030,665,4.980,0.084,
kwd_rowl,39.437520,-79.684020,670,5.009,0.030,
kwd_rowl,39.437350,-79.684020,675,5.021,0.012,
kwd_rowl,39.437170,-79.684040,680,5.034,0.012,
kwd_rowl,39.437050,-79.684080,685,5.042,0.009,
kwd_rowl,39.436760,-79.684240,690,5.064,0.022,
kwd_rowl,39.436480,-79.684450,695,5.087,0.022,
kwd_rowl,39.435970,-79.685000,700,5.132,0.046,
kwd_rowl,39.435760,-79.685230,705,5.151,0.019,
kwd_rowl,39.435460,-79.685400,710,5.174,0.023,
kwd_rowl,39.434850,-79.685550,715,5.217,0.043,
kwd_rowl,39.434010,-79.685700,720,5.276,0.059,
kwd_rowl,39.431400,-79.686310,725,5.459,0.183,
kwd_rowl,39.430900,-79.686480,730,5.495,0.036,
kwd_rowl,39.429580,-79.687440,735,5.600,0.105,
kwd_rowl,39.429230,-79.687660,740,5.627,0.027,
kwd_rowl,39.428900,-79.687830,745,5.651,0.025,
kwd_rowl,39.428670,-79.687870,750,5.667,0.016,
kwd_rowl,39.427790,-79.687870,755,5.728,0.061,
kwd_rowl,39.426670,-79.687800,760,5.806,0.078,
kwd_rowl,39.426070,-79.687720,765,5.847,0.042,
kwd_rowl,39.425820,-79.687680,770,5.865,0.017,
kwd_rowl,39.425480,-79.687640,775,5.888,0.024,
kwd_rowl,39.424310,-79.687420,780,5.970,0.082,
kwd_rowl,39.423840,-79.687380,785,6.003,0.033,
kwd_rowl,39.423420,-79.687380,790,6.032,0.029,
kwd_rowl,39.422830,-79.687400,795,6.073,0.041,
kwd_rowl,39.422510,-79.687430,800,6.095,0.022,
kwd_rowl,39.421990,-79.687440,805,6.131,0.036,
kwd_rowl,39.421250,-79.687420,810,6.182,0.051,
kwd_rowl,39.419630,-79.687260,815,6.294,0.112,
kwd_rowl,39.419490,-79.687230,820,6.304,0.010,
kwd_rowl,39.419290,-79.687210,825,6.318,0.014,
kwd_rowl,39.419170,-79.687210,830,6.326,0.008,
kwd_rowl,39.419010,-79.687230,835,6.337,0.011,
kwd_rowl,39.418840,-79.687270,840,6.349,0.012,
kwd_rowl,39.418550,-79.687370,845,6.370,0.021,
kwd_rowl,39.417240,-79.687910,850,6.465,0.095,
kwd_rowl,39.417050,-79.687990,855,6.479,0.014,
kwd_rowl,39.416870,-79.688030,860,6.492,0.013,
kwd_rowl,39.416710,-79.688060,865,6.503,0.011,
kwd_rowl,39.416550,-79.688070,870,6.514,0.011,
kwd_rowl,39.416220,-79.688060,875,6.537,0.023,
kwd_rowl,39.415150,-79.687870,880,6.612,0.075,
kwd_rowl,39.414670,-79.687880,885,6.645,0.033,
kwd_rowl,39.414410,-79.687900,890,6.663,0.018,
kwd_rowl,39.413920,-79.688040,895,6.697,0.035,
kwd_rowl,39.412740,-79.688430,900,6.782,0.084,
kwd_rowl,39.412260,-79.688540,905,6.815,0.034,
kwd_rowl,39.411950,-79.688600,910,6.837,0.022,
kwd_rowl,39.411670,-79.688610,915,6.856,0.019,
kwd_rowl,39.411400,-79.688510,920,6.876,0.019,
kwd_rowl,39.410990,-79.688250,925,6.907,0.032,
kwd_rowl,39.409890,-79.687310,930,6.999,0.091,
kwd_rowl,39.408630,-79.685870,935,7.115,0.116,
kwd_rowl,39.407770,-79.684810,940,7.197,0.082,
kwd_rowl,39.406720,-79.683190,945,7.310,0.113,
kwd_rowl,39.406180,-79.682620,950,7.358,0.048,
kwd_rowl,39.405900,-79.682330,955,7.383,0.025,
kwd_rowl,39.405470,-79.682060,960,7.416,0.033,
kwd_rowl,39.402400,-79.680840,965,7.638,0.222,
kwd_rowl,39.402290,-79.680800,970,7.646,0.008,
kwd_rowl,39.402180,-79.680770,975,7.654,0.008,
kwd_rowl,39.402040,-79.680770,980,7.664,0.010,
kwd_rowl,39.401910,-79.680770,985,7.673,0.009,
kwd_rowl,39.401750,-79.680790,990,7.684,0.011,
kwd_rowl,39.401610,-79.680820,995,7.694,0.010,
kwd_rowl,39.401480,-79.680860,1000,7.703,0.009,
kwd_rowl,39.401290,-79.680930,1005,7.716,0.014,
kwd_rowl,39.401010,-79.681080,1010,7.737,0.021,
kwd_rowl,39.400670,-79.681330,1015,7.764,0.027,
kwd_rowl,39.400390,-79.681620,1020,7.789,0.025,
kwd_rowl,39.398980,-79.682870,1025,7.908,0.118,
kwd_rowl,39.398610,-79.683210,1030,7.939,0.031,
kwd_rowl,39.398420,-79.683390,1035,7.955,0.016,
kwd_rowl,39.398190,-79.683680,1040,7.977,0.022,
kwd_rowl,39.398060,-79.683850,1045,7.990,0.013,
kwd_rowl,39.397960,-79.684000,1050,8.001,0.011,
kwd_rowl,39.397860,-79.684180,1055,8.013,0.012,
kwd_rowl,39.397790,-79.684320,1060,8.022,0.009,
kwd_rowl,39.397740,-79.684430,1065,8.028,0.007,
kwd_rowl,39.397690,-79.684590,1070,8.038,0.009,
kwd_rowl,39.397670,-79.684730,1075,8.045,0.008,
kwd_rowl,39.397640,-79.684880,1080,8.053,0.008,
kwd_rowl,39.397630,-79.685040,1085,8.062,0.009,
kwd_rowl,39.397620,-79.685310,1090,8.077,0.014,
kwd_rowl,39.397610,-79.685740,1095,8.099,0.023,
kwd_rowl,39.397600,-79.686000,1100,8.113,0.014,
kwd_rowl,39.397610,-79.686220,1105,8.125,0.012,
kwd_rowl,39.397630,-79.686720,1110,8.152,0.027,
kwd_rowl,39.397640,-79.687070,1115,8.171,0.019,
kwd_rowl,39.397630,-79.687340,1120,8.185,0.014,
kwd_rowl,39.397610,-79.687770,1125,8.208,0.023,
kwd_rowl,39.397560,-79.688440,1130,8.244,0.036,
kwd_rowl,39.397520,-79.689130,1135,8.281,0.037,
kwd_rowl,39.397500,-79.689510,1140,8.301,0.020,
kwd_rowl,39.397490,-79.689730,1145,8.313,0.012,
kwd_rowl,39.397490,-79.689960,1150,8.326,0.012,
kwd_rowl,39.397500,-79.690290,1155,8.343,0.018,
kwd_rowl,39.397520,-79.690510,1160,8.355,0.012,
kwd_rowl,39.397550,-79.690770,1165,8.369,0.014,
kwd_rowl,39.397590,-79.691070,1170,8.385,0.016,
kwd_rowl,39.397630,-79.691330,1175,8.400,0.014,
kwd_rowl,39.397690,-79.691580,1180,8.414,0.014,
kwd_rowl,39.397760,-79.691860,1185,8.429,0.016,
kwd_rowl,39.398030,-79.692870,1190,8.486,0.057,
kwd_rowl,39.398240,-79.693640,1195,8.530,0.044,
kwd_rowl,39.398320,-79.693960,1200,8.548,0.018,
kwd_rowl,39.398410,-79.694450,1205,8.575,0.027,
kwd_rowl,39.398580,-79.695350,1210,8.624,0.050,
kwd_rowl,39.398630,-79.695760,1215,8.647,0.022,
kwd_rowl,39.398600,-79.696150,1220,8.668,0.021,
kwd_rowl,39.398570,-79.696390,1225,8.681,0.013,
kwd_rowl,39.398450,-79.696790,1230,8.704,0.023,
kwd_rowl,39.398120,-79.697470,1235,8.746,0.043,
kwd_rowl,39.397540,-79.698700,1240,8.823,0.077,
kwd_rowl,39.397230,-79.699260,1245,8.860,0.037,
kwd_rowl,39.397010,-79.699660,1250,8.887,0.026,
kwd_rowl,39.396650,-79.700110,1255,8.921,0.035,
kwd_rowl,39.396340,-79.700410,1260,8.948,0.027,
kwd_rowl,39.395950,-79.700660,1265,8.978,0.030,
kwd_rowl,39.395590,-79.700860,1270,9.005,0.027,
kwd_rowl,39.394890,-79.701140,1275,9.056,0.051,
kwd_rowl,39.394130,-79.701330,1280,9.109,0.054,
kwd_rowl,39.392980,-79.701560,1285,9.190,0.080,
kwd_rowl,39.392430,-79.701610,1290,9.228,0.038,
kwd_rowl,39.392130,-79.701600,1295,9.249,0.021,
kwd_rowl,39.391350,-79.701470,1300,9.303,0.054,
kwd_rowl,39.389970,-79.701380,1305,9.399,0.096,
kwd_rowl,39.389000,-79.701360,1310,9.466,0.067,
kwd_rowl,39.388530,-79.701300,1315,9.498,0.033,
kwd_rowl,39.387740,-79.701030,1320,9.555,0.057,
kwd_rowl,39.387360,-79.700940,1325,9.582,0.027,
kwd_rowl,39.387060,-79.700950,1330,9.602,0.021,
kwd_rowl,39.386580,-79.700990,1335,9.636,0.033,
kwd_rowl,39.386280,-79.701040,1340,9.657,0.021,
kwd_rowl,39.385860,-79.701210,1345,9.687,0.030,
kwd_rowl,39.385610,-79.701340,1350,9.706,0.019,
kwd_rowl,39.385410,-79.701460,1355,9.721,0.015,
kwd_rowl,39.385040,-79.701740,1360,9.751,0.030,
kwd_rowl,39.384820,-79.702000,1365,9.771,0.021,
kwd_rowl,39.384580,-79.702380,1370,9.797,0.026,
kwd_rowl,39.384390,-79.702860,1375,9.826,0.029,
kwd_rowl,39.383900,-79.704320,1380,9.911,0.085,
kwd_rowl,39.383650,-79.704800,1385,9.942,0.031,
kwd_rowl,39.383340,-79.705100,1390,9.969,0.027,
kwd_rowl,39.383040,-79.705290,1395,9.992,0.023,
kwd_rowl,39.382280,-79.705670,1400,10.049,0.056,
kwd_rowl,39.381840,-79.705810,1405,10.080,0.031,
kwd_rowl,39.381290,-79.705880,1410,10.118,0.038,
kwd_rowl,39.380650,-79.706060,1415,10.163,0.045,
kwd_rowl,39.380130,-79.706220,1420,10.200,0.037,
kwd_rowl,39.379440,-79.706260,1425,10.248,0.048,
kwd_rowl,39.378140,-79.706290,1430,10.338,0.090,
kwd_rowl,39.377660,-79.706330,1435,10.371,0.033,
kwd_rowl,39.377220,-79.706310,1440,10.402,0.030,
kwd_rowl,39.376730,-79.706210,1445,10.436,0.034,
kwd_rowl,39.375980,-79.705990,1450,10.489,0.053,
kwd_rowl,39.375470,-79.705690,1455,10.528,0.039,
kwd_rowl,39.375030,-79.705360,1460,10.563,0.035,
kwd_rowl,39.374540,-79.704990,1465,10.603,0.039,
kwd_rowl,39.374180,-79.704520,1470,10.638,0.035,
kwd_rowl,39.373140,-79.702190,1475,10.782,0.144,
kwd_rowl,39.372880,-79.701520,1480,10.822,0.040,
kwd_rowl,39.372710,-79.701230,1485,10.841,0.019,
kwd_rowl,39.372370,-79.700880,1490,10.871,0.030,
kwd_rowl,39.372030,-79.700600,1495,10.899,0.028,
kwd_rowl,39.371540,-79.700170,1500,10.940,0.041,
kwd_rowl,39.371230,-79.699970,1505,10.964,0.024,
kwd_rowl,39.370770,-79.699900,1510,10.996,0.032,
kwd_rowl,39.370320,-79.699820,1515,11.028,0.031,
kwd_rowl,39.369730,-79.699490,1520,11.072,0.044,
kwd_rowl,39.368930,-79.699060,1525,11.132,0.060,
kwd_rowl,39.368340,-79.698820,1530,11.175,0.043,
kwd_rowl,39.367230,-79.698430,1535,11.254,0.080,
kwd_rowl,39.366600,-79.698030,1540,11.303,0.049,
kwd_rowl,39.365860,-79.697700,1545,11.357,0.054,
kwd_rowl,39.364850,-79.697090,1550,11.434,0.077,
kwd_rowl,39.363940,-79.696360,1555,11.508,0.074,
kwd_rowl,39.363310,-79.695900,1560,11.558,0.050,
kwd_rowl,39.362670,-79.695460,1565,11.608,0.050,
kwd_rowl,39.361880,-79.694910,1570,11.671,0.062,
kwd_rowl,39.361550,-79.694720,1575,11.695,0.025,
kwd_rowl,39.361280,-79.694600,1580,11.715,0.020,
kwd_rowl,39.360910,-79.694460,1585,11.742,0.027,
kwd_rowl,39.360150,-79.694160,1590,11.797,0.055,
kwd_rowl,39.359330,-79.693830,1595,11.856,0.059,
kwd_rowl,39.358850,-79.693650,1600,11.891,0.035,
kwd_rowl,39.358130,-79.693380,1605,11.943,0.052,
kwd_rowl,39.357840,-79.693220,1610,11.964,0.022,
kwd_rowl,39.357620,-79.693070,1615,11.982,0.017,
kwd_rowl,39.357390,-79.692870,1620,12.001,0.019,
kwd_rowl,39.356840,-79.692440,1625,12.045,0.044,
kwd_rowl,39.356330,-79.692150,1630,12.084,0.039,
kwd_rowl,39.355760,-79.691770,1635,12.128,0.044,
kwd_rowl,39.354880,-79.691150,1640,12.198,0.069,
kwd_rowl,39.354010,-79.690390,1645,12.270,0.073,
kwd_rowl,39.353440,-79.689740,1650,12.323,0.053,
kwd_rowl,39.352710,-79.688860,1655,12.392,0.069,
kwd_rowl,39.352420,-79.688530,1660,12.418,0.027,
kwd_rowl,39.352220,-79.688290,1665,12.437,0.019,
kwd_rowl,39.352070,-79.688110,1670,12.452,0.014,
kwd_rowl,39.351480,-79.687240,1675,12.513,0.062,
kwd_rowl,39.350870,-79.686350,1680,12.577,0.064,
kwd_rowl,39.350260,-79.685380,1685,12.644,0.067,
kwd_rowl,39.349720,-79.684720,1690,12.695,0.051,
kwd_rowl,39.349010,-79.683930,1695,12.760,0.065,
kwd_rowl,39.348730,-79.683490,1700,12.791,0.030,
kwd_rowl,39.348620,-79.683310,1705,12.803,0.012,
kwd_rowl,39.348480,-79.683030,1710,12.821,0.018,
kwd_rowl,39.348420,-79.682880,1715,12.830,0.009,
kwd_rowl,39.348330,-79.682480,1720,12.852,0.022,
kwd_rowl,39.348330,-79.681980,1725,12.879,0.027,
kwd_rowl,39.348290,-79.681520,1730,12.903,0.025,
kwd_rowl,39.348230,-79.681100,1735,12.926,0.023,
kwd_rowl,39.348080,-79.680670,1740,12.952,0.025,
kwd_rowl,39.347830,-79.680100,1745,12.987,0.035,
kwd_rowl,39.347760,-79.679790,1750,13.004,0.017,
kwd_rowl,39.347730,-79.679610,1755,13.014,0.010,
kwd_rowl,39.347740,-79.679350,1760,13.028,0.014,
kwd_rowl,39.347900,-79.678520,1765,13.073,0.046,
kwd_rowl,39.347950,-79.678110,1770,13.096,0.022,
kwd_rowl,39.347990,-79.677370,1775,13.135,0.040,
kwd_rowl,39.348000,-79.676500,1780,13.182,0.047,
kwd_rowl,39.348010,-79.675620,1785,13.229,0.047,
kwd_rowl,39.348030,-79.674920,1790,13.266,0.037,
kwd_rowl,39.348050,-79.674360,1795,13.296,0.030,
kwd_rowl,39.348060,-79.673870,1800,13.323,0.026,
kwd_rowl,39.348090,-79.673560,1805,13.339,0.017,
kwd_rowl,39.348110,-79.673330,1810,13.352,0.012,
kwd_rowl,39.348210,-79.672810,1815,13.380,0.029,
kwd_rowl,39.348330,-79.672140,1820,13.417,0.037,
kwd_rowl,39.348380,-79.671800,1825,13.436,0.019,
kwd_rowl,39.348550,-79.670850,1830,13.488,0.052,
kwd_rowl,39.348410,-79.670800,1835,13.498,0.010,
kwd_rowl,39.347540,-79.670520,1840,13.560,0.062,
kwd_rowl,39.346650,-79.670230,1845,13.623,0.063,
kwd_rowl,39.346580,-79.670180,1850,13.629,0.006,
kwd_rowl,39.346500,-79.670120,1855,13.635,0.006,
kwd_rowl,39.346320,-79.669910,1860,13.652,0.017,
kwd_rowl,39.346210,-79.669790,1865,13.662,0.010,
kwd_rowl,39.346100,-79.668990,1870,13.705,0.043,
kwd_rowl,39.346180,-79.668910,1875,13.712,0.007,
!_kwd_rowl,39.346180,-79.668910,0,0.000,0.000,
!_kwd_rowl,39.346100,-79.668990,5,0.007,0.007,
!_kwd_rowl,39.346210,-79.669790,10,0.050,0.043,
!_kwd_rowl,39.346320,-79.669910,15,0.060,0.010,
!_kwd_rowl,39.346500,-79.670120,20,0.077,0.017,
!_kwd_rowl,39.346580,-79.670180,25,0.084,0.006,
!_kwd_rowl,39.346650,-79.670230,30,0.089,0.006,
!_kwd_rowl,39.347540,-79.670520,35,0.153,0.063,
!_kwd_rowl,39.348410,-79.670800,40,0.215,0.062,
!_kwd_rowl,39.348550,-79.670850,45,0.225,0.010,
!_kwd_rowl,39.348380,-79.671800,50,0.277,0.052,
!_kwd_rowl,39.348330,-79.672140,55,0.295,0.019,
!_kwd_rowl,39.348210,-79.672810,60,0.332,0.037,
!_kwd_rowl,39.348110,-79.673330,65,0.361,0.029,
!_kwd_rowl,39.348090,-79.673560,70,0.373,0.012,
!_kwd_rowl,39.348060,-79.673870,75,0.390,0.017,
!_kwd_rowl,39.348050,-79.674360,80,0.416,0.026,
!_kwd_rowl,39.348030,-79.674920,85,0.446,0.030,
!_kwd_rowl,39.348010,-79.675620,90,0.484,0.037,
!_kwd_rowl,39.348000,-79.676500,95,0.531,0.047,
!_kwd_rowl,39.347990,-79.677370,100,0.577,0.047,
!_kwd_rowl,39.347950,-79.678110,105,0.617,0.040,
!_kwd_rowl,39.347900,-79.678520,110,0.639,0.022,
!_kwd_rowl,39.347740,-79.679350,115,0.685,0.046,
!_kwd_rowl,39.347730,-79.679610,120,0.699,0.014,
!_kwd_rowl,39.347760,-79.679790,125,0.709,0.010,
!_kwd_rowl,39.347830,-79.680100,130,0.726,0.017,
!_kwd_rowl,39.348080,-79.680670,135,0.761,0.035,
!_kwd_rowl,39.348230,-79.681100,140,0.786,0.025,
!_kwd_rowl,39.348290,-79.681520,145,0.809,0.023,
!_kwd_rowl,39.348330,-79.681980,150,0.834,0.025,
!_kwd_rowl,39.348330,-79.682480,155,0.860,0.027,
!_kwd_rowl,39.348420,-79.682880,160,0.883,0.022,
!_kwd_rowl,39.348480,-79.683030,165,0.892,0.009,
!_kwd_rowl,39.348620,-79.683310,170,0.910,0.018,
!_kwd_rowl,39.348730,-79.683490,175,0.922,0.012,
!_kwd_rowl,39.349010,-79.683930,180,0.952,0.030,
!_kwd_rowl,39.349720,-79.684720,185,1.017,0.065,
!_kwd_rowl,39.350260,-79.685380,190,1.069,0.051,
!_kwd_rowl,39.350870,-79.686350,195,1.135,0.067,
!_kwd_rowl,39.351480,-79.687240,200,1.199,0.064,
!_kwd_rowl,39.352070,-79.688110,205,1.261,0.062,
!_kwd_rowl,39.352220,-79.688290,210,1.275,0.014,
!_kwd_rowl,39.352420,-79.688530,215,1.294,0.019,
!_kwd_rowl,39.352710,-79.688860,220,1.321,0.027,
!_kwd_rowl,39.353440,-79.689740,225,1.390,0.069,
!_kwd_rowl,39.354010,-79.690390,230,1.442,0.053,
!_kwd_rowl,39.354880,-79.691150,235,1.515,0.073,
!_kwd_rowl,39.355760,-79.691770,240,1.584,0.069,
!_kwd_rowl,39.356330,-79.692150,245,1.629,0.044,
!_kwd_rowl,39.356840,-79.692440,250,1.667,0.039,
!_kwd_rowl,39.357390,-79.692870,255,1.712,0.044,
!_kwd_rowl,39.357620,-79.693070,260,1.731,0.019,
!_kwd_rowl,39.357840,-79.693220,265,1.748,0.017,
!_kwd_rowl,39.358130,-79.693380,270,1.770,0.022,
!_kwd_rowl,39.358850,-79.693650,275,1.822,0.052,
!_kwd_rowl,39.359330,-79.693830,280,1.856,0.035,
!_kwd_rowl,39.360150,-79.694160,285,1.916,0.059,
!_kwd_rowl,39.360910,-79.694460,290,1.971,0.055,
!_kwd_rowl,39.361280,-79.694600,295,1.997,0.027,
!_kwd_rowl,39.361550,-79.694720,300,2.017,0.020,
!_kwd_rowl,39.361880,-79.694910,305,2.042,0.025,
!_kwd_rowl,39.362670,-79.695460,310,2.104,0.062,
!_kwd_rowl,39.363310,-79.695900,315,2.154,0.050,
!_kwd_rowl,39.363940,-79.696360,320,2.204,0.050,
!_kwd_rowl,39.364850,-79.697090,325,2.278,0.074,
!_kwd_rowl,39.365860,-79.697700,330,2.355,0.077,
!_kwd_rowl,39.366600,-79.698030,335,2.410,0.054,
!_kwd_rowl,39.367230,-79.698430,340,2.458,0.049,
!_kwd_rowl,39.368340,-79.698820,345,2.538,0.080,
!_kwd_rowl,39.368930,-79.699060,350,2.580,0.043,
!_kwd_rowl,39.369730,-79.699490,355,2.640,0.060,
!_kwd_rowl,39.370320,-79.699820,360,2.685,0.044,
!_kwd_rowl,39.370770,-79.699900,365,2.716,0.031,
!_kwd_rowl,39.371230,-79.699970,370,2.748,0.032,
!_kwd_rowl,39.371540,-79.700170,375,2.772,0.024,
!_kwd_rowl,39.372030,-79.700600,380,2.813,0.041,
